,Listing,Price,SQMUP,Room Info,Area,Location,Ads
941,"107 m2, 4 pokoje, dwupoziomowe, 3 balkony, garaż",869 000 ,8102 ,4 ,107.26  ,"ul. Poczty Gdańskiej, Skorosze, Ursus, Warszawa, mazowieckie",Północ Nieruchomości                                                       FranczyzaBiuro nieruchomości
942,"Mieszkanie80M2+Lokal Usługowy16M2 3Pok, ul.Fortowa",730 000 ,9125 ,3 ,80  ,"ul. Fortowa, Chomiczówka, Bielany, Warszawa, mazowieckie",Modern TownBiuro nieruchomości
943,"Mieszkanie 49M2,3Pok.,Powstańców Śląskich",569 000 ,11 612 ,2 ,49  ,"al. Powstańców Śląskich, Górce, Bemowo, Warszawa, mazowieckie",Modern TownBiuro nieruchomości
944,"SKM Radość, miejsce post. działka 150 m2",517 000 ,19 885 ,1 ,26  ,"ul. Zasobna, Radość, Wawer, Warszawa, mazowieckie",Oferta prywatna
945,"Luksusowe, z Tarasem 23,45m2, garaż, pom.gospod.",1 200 000 ,18 182 ,2 ,66  ,"ul. Obrzeżna, Służew, Mokotów, Warszawa, mazowieckie",APARTAMENT Aneta WydrzyńskaBiuro nieruchomości
946,Huculska/klimat/Mokotów/kamienica,1 975 000 ,16 880 ,4 ,117  ,"Huculska/klimat/Mokotów/kamienica, Sielce, Mokotów, Warszawa, mazowieckie",Sural NieruchomościBiuro nieruchomości
947,"Duże rozkładowe mieszkanie, 4 pokoje",749 000 ,11 523 ,4 ,65  ,"ul. Wojciecha Bogusławskiego, Chomiczówka, Bielany, Warszawa, mazowieckie",Oferta prywatna
948,"***Okazja***3 pokoje, Metro Imielin, Ursynów",790 000 ,12 540 ,3 ,63  ,"ul. Jana Wasilkowskiego, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
949,"Mieszkanie w pięknej kamienicy, przy metrze, park",840 000 ,16 154 ,2 ,52  ,"ul. Pawia, Muranów, Śródmieście, Warszawa, mazowieckie",INVESTORIUS Sp. z o.o.Biuro nieruchomości
950,Metro 6 Min/ 2 Pokoje/ Muranów/ Wysokie/ Cisza,875 000 ,17 500 ,2 ,50  ,"ul. Karmelicka, Muranów, Śródmieście, Warszawa, mazowieckie",INVESTORIUS Sp. z o.o.Biuro nieruchomości
951,Wum !!! 2 pokoje z widokiem na park,510 000 ,14 366 ,2 ,35.5  ,"ul. Mariana Nowickiego, Rakowiec, Ochota, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
952,3-pok Mieszkanie wysoki standart x2 parking,2 199 000 ,29 517 ,3 ,74.5  ,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",MOKKO Real EstateBiuro nieruchomości
953,Kamienica* 107M2 5 Pok.* Zaaranżuj Własne Wnętrze,1 350 000 ,12 640 ,5 ,106.8  ,"Stara Ochota, Ochota, Warszawa, mazowieckie",Inventure Real Estate sp. z o.o.Biuro nieruchomości
954,4-pokojowe mieszkanie 89m2 + balkon Bez Prowizji,Zapytaj o cenę4 pokoje89.87 m²,,,,"ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie",APM DevelopmentInwestycja deweloperska
955,3-pokojowe mieszkanie 67m2 + balkon,Zapytaj o cenę3 pokoje67.24 m²,,,,"ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie",APM DevelopmentInwestycja deweloperska
956,2-pokojowe mieszkanie 48m2 + balkon Bezpośrednio,Zapytaj o cenę2 pokoje48.69 m²,,,,"ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie",APM DevelopmentInwestycja deweloperska
957,"Mieszkanie 1-pokojowe, duży balkon-Metro Natolin",605 000 ,17 894 ,1 ,33.81  ,"ul. Stryjeńskich, Natolin, Ursynów, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
958,Gotowy 2pok Apartment/ Włohy,567 000 ,17 886 ,2 ,31.7  ,"Wiktoryn 6A, Stare Włochy, Włochy, Warszawa, mazowieckie",Oferta prywatna
959,Mieszkanie - Warszawa Wola Odolany,1 299 000 ,21 503 ,2 ,60.41  ,"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",Lions Estate Sp. z o o.Biuro nieruchomości
960,2 pok idealna inwestycja,502 000 ,10 681 ,2 ,47  ,"ul. Morelowa, Żerań, Białołęka, Warszawa, mazowieckie",BIURO SPRZEDAŻY MIESZKAŃBiuro nieruchomości
961,Okazja !!! mieszkanie z pięknym widokiem 47 m2,599 000 ,12 821 ,2 ,46.72  ,"ul. Karola Bohdanowicza, Rakowiec, Ochota, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
962,Dwupokojowe mieszkanie na os. Saska - REZERWACJA,787 000 ,17 373 ,2 ,45.3  ,"ul. gen. Stanisława Skalskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",Oferta prywatna
963,"2 pokoje przy stacji metra , za gotówkę",550 000 ,15 027 ,2 ,36.6  ,"ul. Księcia Janusza, Koło, Wola, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
964,"Mieszkanie na Bródnie, doskonała lokalizacja",800 000 ,13 516 ,3 ,59.19  ,"ul. Rembielińska, Bródno, Targówek, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
965,"2 pok. po gen. remoncie, tylko gotówka, Negocjuj",519 000 ,14 027 ,2 ,37  ,"ul. Siedlecka, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
966,Mieszkanie na malowniczych Włochach ul. Popularna,1 271 000 ,14 779 ,4 ,86  ,"ul. Popularna, Stare Włochy, Włochy, Warszawa, mazowieckie",Oferta prywatna
967,★★ Mieszkanie 38 m2 ★ Ursus Skorosze ★ 2023 ★★,619 000 ,16 367 ,1 ,37.82  ,"ul. Przy Forcie, Skorosze, Ursus, Warszawa, mazowieckie",Westa HomeBiuro nieruchomości
968,2 Pokoje + Kuchnia do wejścia Metro Bemowo,730 000 ,14 571 ,2 ,50.1  ,"ul. gen. Waleriana Czumy, Jelonki Północne, Bemowo, Warszawa, mazowieckie",Północ Nieruchomości                                                       FranczyzaBiuro nieruchomości
969,Wyjątkowe 2 Poziomowe Mieszkanie Wesoła,1 099 000 ,10 467 ,4 ,105  ,"al. Aleja gen. Władysława Sikorskiego, Wola Grzybowska, Wesoła, Warszawa, mazowieckie",Biuro nieruchomości
970,"107,26m2, 4 pokoje, dwupoziomowe, 3 balkony, garaż",869 000 ,8102 ,4 ,107.26  ,"ul. Poczty Gdańskiej, Czechowice, Ursus, Warszawa, mazowieckie",Północ Nieruchomości                                                       FranczyzaBiuro nieruchomości
971,Ciche | 2.8 M wysokie | bez Pcc | wysoki standard,1 195 000 ,16 263 ,3 ,73.48  ,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",PURE ESTATESBiuro nieruchomości
972,"3pok*48,5mkw*dwustronne*wysoki parter*balkon",589 000 ,12 144 ,3 ,48.5  ,"ul. Warszawska, Niedźwiadek, Ursus, Warszawa, mazowieckie",Północ Nieruchomości                                                       FranczyzaBiuro nieruchomości
973,"Gotowe do wprowadzenia 3 pokoje, Białołęka 2014",689 000 ,10 158 ,3 ,67.83  ,"ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie",Północ Nieruchomości                                                       FranczyzaBiuro nieruchomości
974,Mieszkanie 94m2 m. Natolin parter garaż prywatnie,1 350 000 ,14 362 ,3 ,94  ,"Natolin, Ursynów, Warszawa, mazowieckie",Oferta prywatna
975,Bielany 2pok widna kuchnia taras 40m,599 000 ,10 949 ,2 ,54.71  ,"ul. Maszewska, Chomiczówka, Bielany, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
976,Mieszkanie do remontu 57 m2 Puławska OKAZJA !,778 000 ,13 721 ,3 ,56.7  ,"Puławska 87/89, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Oferta prywatna
977,"3 pokoje, apartamentowiec, bliska Wola, garaż",1 490 000 ,24 283 ,3 ,61.36  ,"ul. Eustachego Tyszkiewicza, Młynów, Wola, Warszawa, mazowieckie",Oferta prywatna
978,"4 pokoje, Sadyba, Bezpośrednio",1 358 000 ,16 167 ,4 ,84  ,"ul. Nałęczowska, Sadyba, Mokotów, Warszawa, mazowieckie",Oferta prywatna
979,"Metro Służew, 3 pokoje + garaż, bezpośrednio",1 150 000 ,16 989 ,3 ,67.69  ,"Służew, Mokotów, Warszawa, mazowieckie",Oferta prywatna
980,Metro Dw. Gdański KAMIENICA 2 pok. - BEZPOŚREDNIO,997 000 ,22 920 ,2 ,43.5  ,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",Oferta prywatna
981,"Apartament na oś.""Zielona Italia"" Warszawa Włochy.",1 269 000 ,16 238 ,4 ,78.15  ,"ul. Obywatelska, Nowe Włochy, Włochy, Warszawa, mazowieckie",Biuro Metrohouse Warszawa UrsusBiuro nieruchomości
982,Luksusowe mieszkanie w sercu Pragi-Północ,970 000 ,20 987 ,2 ,46.22  ,"ul. Szwedzka, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",Oferta prywatna
983,Mieszkanie 3 pokojowe Warszawa Wola przy Metrze Pł,1 300 000 ,22 515 ,3 ,57.74  ,"ul. Płocka 8, Mirów, Wola, Warszawa, mazowieckie",Oferta prywatna
984,Sprzedam BEZPOŚREDNIO kawalerkę Śródmieście,690 000 ,26 538 ,1 ,26  ,"ul. Pawia 51, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",Oferta prywatna
985,"2 Pokoje 43m2, Ursus , Posag 7 Panien / Kredyt 2%",660 000 ,15 349 ,2 ,43  ,"ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie",Happy HomeBiuro nieruchomości
986,"Kawalerka 32 m2 przy ul. Włodarzewskiej, kredyt 2%",559 990 ,17 500 ,1 ,32  ,"ul. Zadumana, Szczęśliwice, Ochota, Warszawa, mazowieckie",Happy HomeBiuro nieruchomości
987,Bezpośrednio ul Wynalazek 43m 2 pokoje,799 000 ,18 581 ,2 ,43  ,"ul. Wynalazek, Służewiec, Mokotów, Warszawa, mazowieckie",Oferta prywatna
988,Mieszkanie przy starym mieście,600 000 ,27 027 ,1 ,22.2  ,"Nowe Miasto, Śródmieście, Warszawa, mazowieckie",Oferta prywatna
989,Mieszkanie 74 m Warszawa Ursynów ul. Belgradzka,999 000 ,13 475 ,4 ,74.14  ,"ul. Belgradzka, Natolin, Ursynów, Warszawa, mazowieckie",Oferta prywatna
990,Jasne 2 pok mieszkanie ! Klimatyzacja !,899 000 ,21 927 ,2 ,41  ,"Młynów, Wola, Warszawa, mazowieckie",MOKKO Real EstateBiuro nieruchomości
991,Kawalerka w idealnej lokalizacji,479 000 ,15 967 ,1 ,30  ,"ul. Sady Żoliborskie, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",REVI HOMEBiuro nieruchomości
992,Mieszkanie na Ursynowie + garaż.,1 100 000 ,16 923 ,3 ,65  ,"ul. Ludwika Paszkiewicza, Ursynów Północny, Ursynów, Warszawa, mazowieckie",Oferta prywatna
993,Apartament 53 M Żoliborz Artystyczny,1 299 000 ,24 509 ,2 ,53  ,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",Royal CityBiuro nieruchomości
994,Apartament 48m + 40m tarasu ul. Rydygiera,1 079 000 ,22 479 ,2 ,48  ,"Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",Royal CityBiuro nieruchomości
995,Żoliborz - 3 Pokoje W Zielonym Zaciszu Warszawy,990 000 ,16 500 ,3 ,60  ,"ul. Gwiaździsta, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",homfi sp. z o.o.Biuro nieruchomości
996,31m2 ul. RAKOWIEC 2 POKOJE,449 900 ,14 513 ,2 ,31  ,"Rakowiec, Ochota, Warszawa, mazowieckie",Oferta prywatna
997,REZERWACJA! Idealne dla Pary lub na Inwestycje,560 000 ,12 444 ,2 ,45  ,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",Oferta prywatna
998,3 pokoje przy metrze | 61m2 | widna kuchnia,729 000 ,11 951 ,3 ,61  ,"ul. Związku Walki Młodych, Ursynów Północny, Ursynów, Warszawa, mazowieckie",Via PropertyBiuro nieruchomości
999,2 pokoje mieszkanie w kamienicy na Mokotowie,849 950 ,16 999 ,2 ,50  ,"ul. Rabindranatha Tagore, Wierzbno, Mokotów, Warszawa, mazowieckie",PIÓREK HOUSEBiuro nieruchomości
1000,Panoramiczny Penthause na warszawskim Żoliborzu,5 999 999 ,21 661 ,6 ,277  ,"Marymont-Potok, Żoliborz, Warszawa, mazowieckie",Katrina InvestmentsBiuro nieruchomości
1001,Parter NAJNIŻSZY CZYNSZ W MIEŚCIE pompa ciepła oze,370 852 ,13 735 ,1 ,27  ,"ul. Leona Berensona 131, Grodzisk, Białołęka, Warszawa, mazowieckie",J.W. Construction Holding S.ABiuro nieruchomości
1002,Mieszkanie z najniżymi kosztami eksploatacji OZE,694 278 ,12 900 ,3 ,53.82  ,"Nowodwory, Białołęka, Warszawa, mazowieckie",J.W. Construction Holding S.ABiuro nieruchomości
1003,Przestronne mieszkanie 70m2 |Białołęka|Od Teraz!,850 000 ,12 143 ,4 ,70  ,"Arcangela Corellego, Kobiałka, Białołęka, Warszawa, mazowieckie",THE CapitalBiuro nieruchomości
1004,Świetna kawalerka z pięknym widokiem na ogród,430 000 ,14 828 ,2 ,29  ,"Grochów, Praga-Południe, Warszawa, mazowieckie",Katrina InvestmentsBiuro nieruchomości
1005,Znakomita lokalizacja 3 pokoje z osobną kuchnią,716 000 ,14 917 ,3 ,48  ,"ul. Aleksandra Gierymskiego, Sielce, Mokotów, Warszawa, mazowieckie",Metrohome24 Biuro Nieruchomości sp.zooBiuro nieruchomości
1006,Nowe Mieszkania w zrewitalizowanej kamienicy,569 250 ,11 500 ,3 ,49.5  ,"ul. Główna, Nowodwory, Białołęka, Warszawa, mazowieckie",Nest Group Daniel KrawczakBiuro nieruchomości
1007,Urokliwe 2 - poziomowe mieszkanie | bezczynszowe,978 000 ,8504 ,4 ,115  ,"Nadwiśle, Wawer, Warszawa, mazowieckie",HOLA NieruchomościBiuro nieruchomości
1008,Apartament na dolnym Mokotowie - bezpośrednio,880 000 ,18 605 ,2 ,47.3  ,"ul. Bluszczańska 4, Siekierki, Mokotów, Warszawa, mazowieckie",Oferta prywatna
1009,Bokserska 71A | Nowy apartament | Wysoki standard,1 699 999 ,18 612 ,4 ,91.34  ,"ul. Bokserska, Służewiec, Mokotów, Warszawa, mazowieckie",Mordalski AnalyticsBiuro nieruchomości
1010,3 pokojowe mieszkanie w kamienicy z 1933r. balkon,1 496 000 ,17 000 ,3 ,88  ,"Stara Praga, Praga-Północ, Warszawa, mazowieckie",INVESTORIUS Sp. z o.o.Biuro nieruchomości
1011,Segment trzypoziomowy- 2 miejsca postojowe gratis!,699 000 ,7281 ,5 ,96  ,"Groszówka, Wesoła, Warszawa, mazowieckie",Oferta prywatna
1012,"dwupoziomowe, Ostatnie piętro, Taras, bez Pcc",1 800 000 ,15 235 ,4 ,118.15  ,"ul. Krańcowa, Stare Włochy, Włochy, Warszawa, mazowieckie",HabitarBiuro nieruchomości
1013,4-pokojowe mieszkanie 75m2 + ogródek,Zapytaj o cenę4 pokoje75.55 m²,,,,"ul. Rzędziana, Brzeziny, Białołęka, Warszawa, mazowieckie",TIMBUD IIInwestycja deweloperska
1014,3-pokojowe mieszkanie 66m2 + balkon,Zapytaj o cenę3 pokoje66.11 m²,,,,"ul. Rzędziana, Brzeziny, Białołęka, Warszawa, mazowieckie",TIMBUD IIInwestycja deweloperska
1015,3-pokojowe mieszkanie 56m2 + ogródek Bez Prowizji,Zapytaj o cenę3 pokoje56.47 m²,,,,"ul. Arkadii, Nadwiśle, Wawer, Warszawa, mazowieckie",Atelier InvestInwestycja deweloperska
1016,Przytulne trzypokojowe mieszkanie na Zawadach,1 230 000 ,13 977 ,3 ,88  ,"ul. Jara, Zawady, Wilanów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1017,Mieszkanie - Warszawa Wilanów,1 300 000 ,17 687 ,3 ,73.5  ,"al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1018,"Cichy, klimatyzowany apartament z klasą",1 490 000 ,15 282 ,3 ,97.5  ,"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1019,Mieszkanie - Warszawa Mokotów,1 200 000 ,17 935 ,3 ,66.91  ,"ul. Bergamotki, Stegny, Mokotów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1020,Prestiżowa lokalizacja przy parku Morskie Oko!,2 799 000 ,22 756 ,4 ,123  ,"ul. Willowa, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1021,"Styl, nowoczesność, lokalizacja",1 914 000 ,22 000 ,4 ,87  ,"ul. Krzysztofa Kieślowskiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1022,Rodzinny apartament z ogródkiem | Osiedle Patio,1 990 000 ,12 872 ,4 ,154.6  ,"ul. Zapłocie, Powsin, Wilanów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1023,Apartament na sprzedaż w prestiżowym miejscu,3 649 000 ,13 565 ,7 ,269  ,"ul. Stanisława Kostki Potockiego, Wilanów Królewski, Wilanów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1024,5 pokoi I cisza I zieleń,1 760 000 ,12 509 ,5 ,140.7  ,"ul. Syta, Zawady, Wilanów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1025,3 pokoje I taras I świetna lokalizacja,1 200 000 ,13 559 ,3 ,88.5  ,"al. Aleja gen. Władysława Sikorskiego, Stegny, Mokotów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1026,5 pokoi I Mokotów I Blisko metra,1 959 000 ,15 097 ,5 ,129.76  ,"ul. Wielicka, Ksawerów, Mokotów, Warszawa, mazowieckie",Eurovilla Miasteczko Wilanów Sp. z o. o.Biuro nieruchomości
1027,Przestronny apartament 75m2 + 50m2 taras Wilanów,1 580 000 ,20 919 ,2 ,75.53  ,"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Oferta prywatna
1028,Luksus w Sercu Mokotowa,1 450 000 ,23 016 ,4 ,63  ,"ul. Kazimierzowska 64, Stary Mokotów, Mokotów, Warszawa, mazowieckie",NieruchomosciSzybko.plBiuro nieruchomości
1029,Atrakcyjne!/garaż podz.komórka/Stare Włochy/,759 000 ,17 651 ,2 ,43  ,"ul. Popularna, Stare Włochy, Włochy, Warszawa, mazowieckie",Expert Nieruchomości Maria DudaBiuro nieruchomości
1030,Sprzedam lokal usługowo mieszkalny (FV 23% ),1 353 000 ,22 327 ,3 ,60.6  ,"ul. Stefana Żeromskiego 17, Słodowiec, Bielany, Warszawa, mazowieckie",Oferta prywatna
1031,"3 pokoje, Targówek, w pełni wyposażone, metro",799 000 ,13 207 ,3 ,60.5  ,"ul. Kołowa, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",Oferta prywatna
1032,Polecam mieszkanie 3 pokojowe,1 073 319 ,16 900 ,3 ,63.51  ,"Kamionek, Praga-Południe, Warszawa, mazowieckie",Inwestycja biuro nieruchomosciBiuro nieruchomości
1033,"Mieszkanie, 34 m², Warszawa",675 000 ,19 853 ,2 ,34  ,"Stary Imielin, Ursynów, Warszawa, mazowieckie",Baobab NieruchomościBiuro nieruchomości
1034,3 pokojowe na Biłołęce 2 ogródki obok tramwaju,626 300 ,11 775 ,3 ,53.19  ,"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",LOFT51Biuro nieruchomości
1035,Mieszkanie - Warszawa Białołęka Nowodwory,734 400 ,11 803 ,3 ,62.22  ,"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",LOFT51Biuro nieruchomości
1036,3 pokojowe na Białołęce balkon obok tramwaju,648 800 ,12 337 ,3 ,52.59  ,"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",LOFT51Biuro nieruchomości
1037,4 pokojowe na Białołęce duży ogród obok tramwaju,813 000 ,11 503 ,4 ,70.68  ,"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",LOFT51Biuro nieruchomości
1038,4 pokojowe na Białołęce balkon obok tramwaju,778 300 ,11 013 ,4 ,70.67  ,"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",LOFT51Biuro nieruchomości
1039,Wyjątkowa inwestycja | Unikat | Zaprojektuj,3 299 000 ,16 495 ,8 ,200  ,"ul. Krzysztofa Opalińskiego, Marymont-Potok, Żoliborz, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1040,Lokalizacja / budynek / garaż,844 000 ,16 833 ,2 ,50.14  ,"ul. Radziwie, Młynów, Wola, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1041,Taras | Ogród | Super osiedle,1 019 000 ,11 988 ,3 ,85  ,"ul. Obywatelska, Nowe Włochy, Włochy, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1042,Pod klucz/apartament/inwestycja/metro/rodzinny/,1 119 000 ,10 760 ,4 ,104  ,"Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1043,Inwestycja/Apartament/Nowoczesne/51m2,"806 711,33 ",15 692 ,3 ,51.41  ,"Ursynów Północny, Ursynów, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1044,Inwestycja/Apartament/Nowoczesne/31m2,"535 136,90 ",16 919 ,2 ,31.63  ,"Ursynów Północny, Ursynów, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1045,"Mieszkanie 36,46 m Ochota Idealne pod program BK2",675 000 ,18 513 ,2 ,36.46  ,"Stara Ochota, Ochota, Warszawa, mazowieckie",Oferta prywatna
1046,Gotowiec inwestycyjny/Apartament/Urządzony/32 m2/,"439 819,05 ",13 642 ,1 ,32.24  ,"Salomea, Włochy, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1047,Gotowiec inwestycyjny/Apartament/Urządzony/60 m2/,838 462 ,13 786 ,2 ,60.82  ,"Salomea, Włochy, Warszawa, mazowieckie",Woźniakowski NieruchomościBiuro nieruchomości
1048,Bezpośrednio. Super lokalizacja. Garaż(3m)+komórka,1 330 000 ,22 542 ,3 ,59  ,"al. Aleja Rzeczypospolitej 31B, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Oferta prywatna
1049,"Kawalerka 29,52 mkw, nadbudowa kamienicy z 1895 r.",619 920 ,21 000 ,2 ,29.52  ,"ul. Waliców, Mirów, Wola, Warszawa, mazowieckie",Pisarek Nieruchomości Iwona PisarekBiuro nieruchomości
1050,3 pok. apartament / wysoki standard ul.Sokratesa,1 235 000 ,19 945 ,3 ,61.92  ,"ul. Sokratesa, Wawrzyszew, Bielany, Warszawa, mazowieckie",Oferta prywatna
1051,Sprzedam mieszkanie na osiedlu Pozytywny Mokotów,910 000 ,22 750 ,2 ,40  ,"ul. Postępu, Służewiec, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
1052,"Luksusowy apartament 119,3m2, Rezydencja Orłowicza",2 990 000 ,25 063 ,3 ,119.3  ,"ul. Mieczysława Orłowicza, Solec, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
1053,Mieszkanie 69m2 Nowodworska,890 000 ,12 899 ,3 ,69  ,"ul. Nowodworska 21, Nowodwory, Białołęka, Warszawa, mazowieckie",Oferta prywatna
1054,Mieszkanie 3 pokoje na Miasteczku Wilanów,1 269 000 ,16 610 ,3 ,76.4  ,"al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",WESTATE Wilanów sp. z o.o.Biuro nieruchomości
1055,"Super 2 pokoje, 10 min od metra Księcia Janusza",799 000 ,18 818 ,2 ,42.46  ,"ul. Józefa Sowińskiego, Ulrychów, Wola, Warszawa, mazowieckie",The Square EstateBiuro nieruchomości
1056,Wykończone 3 pokoje na Nowolipkach,965 000 ,15 990 ,3 ,60.35  ,"ul. Mordechaja Anielewicza, Nowolipki, Wola, Warszawa, mazowieckie",The Square EstateBiuro nieruchomości
1057,"Metro Wierzbno, 2 pokoje i osobna kuchnia",849 000 ,16 647 ,2 ,51  ,"ul. Fryderyka Joliot-Curie, Wierzbno, Mokotów, Warszawa, mazowieckie",The Square EstateBiuro nieruchomości
1058,Mieszkanie 3 pokojowe Omulewska 26B Warszawa,970 000 ,15 676 ,3 ,61.88  ,"ul. Omulewska, Grochów, Praga-Południe, Warszawa, mazowieckie",Oferta prywatna
1059,"3 Pokojowe mieszkanie 62m2, Gocław, Osiedle Forma",1 149 000 ,18 532 ,3 ,62  ,"Gocław, Praga-Południe, Warszawa, mazowieckie",Oferta prywatna
1060,M2 do wprowadzenia Wilanów,550 000 ,12 791 ,2 ,43  ,"Powsinek, Wilanów, Warszawa, mazowieckie",MIXOBUD GROUP SPÓŁKA Z OOBiuro nieruchomości
1061,Mieszkanie 1pok. na Starym Mokotowie.,525 000 ,18 103 ,1 ,29  ,"ul. Kielecka, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Opoka NieruchomościBiuro nieruchomości
1062,Dwupokojowe mieszkanie z ogródkiem na Ursynowie,859 000 ,18 273 ,2 ,47.01  ,"POLKI, Wyczółki, Ursynów, Warszawa, mazowieckie",Oferta prywatna
1063,Mieszkanie BEZPOŚREDNIO new kawalerka inwestycyjna,395 000 ,17 955 ,1 ,22  ,"Stare Włochy, Włochy, Warszawa, mazowieckie",Oferta prywatna
1064,"#1 2Pokoje Parter 40m""Ogródek EcoOZE POMPA/PANELE",427 101 ,12 562 ,2 ,34  ,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",J.W. Construction Holding S.ABiuro nieruchomości
1065,"Dwupokojowe, odrestaurowana kamienica, ładny widok",550 000 ,16 820 ,2 ,32.7  ,"Szmulowizna, Praga-Północ, Warszawa, mazowieckie",Oferta prywatna
1066,"Mieszkanie 64,5m2 - Sprzedam bezpośrednio.",962 000 ,14 915 ,3 ,64.5  ,"ul. Tadeusza Hennela, Szamoty, Ursus, Warszawa, mazowieckie",Oferta prywatna
1067,Śródmieście. Dwa pokoje. Dwustronne.,849 000 ,16 980 ,2 ,50  ,"Muranów, Śródmieście, Warszawa, mazowieckie",WAWA-EstateBiuro nieruchomości
1068,Śródmieście. Trzy pokoje. Loggia.,790 000 ,15 421 ,3 ,51.23  ,"ul. Miła, Muranów, Śródmieście, Warszawa, mazowieckie",WAWA-EstateBiuro nieruchomości
1069,❗❗WYKOŃCZONY SŁONECZNY APARTAMENT❗❗ 5'Metro MORY❗❗,616 000 ,15 400 ,2 ,40  ,"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",Oferta prywatna
1070,"*Stylowe *Kamienica *Balkon *wysokość 3,8m*Centrum",1 885 000 ,29 000 ,2 ,65  ,"ul. Hoża, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Akces Nieruchomości Kamińska I. Sobański J.Biuro nieruchomości
