,Listing,Price,SQMUP,Room Info,Area,Location,Ads
30,Wyjątkowy apartament z kominkiem i ogrodem Wilanów,1 990 000 ,12 922 ,4 ,154  ,"ul. Zapłocie, Powsin, Wilanów, Warszawa, mazowieckie",AD.DRĄGOWSKIBiuro nieruchomości
31,"Nowy penthouse - Saska Kępa, wysokość w salonie 6m",3 900 000 ,25 995 ,7 ,150.03  ,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",AD.DRĄGOWSKIBiuro nieruchomości
32,"Penthouse 2 poziomy wysokość salonu 6m, Saska Kępa",3 400 000 ,28 571 ,4 ,119  ,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",AD.DRĄGOWSKIBiuro nieruchomości
33,"Mokotów-Służewiec-3 pok-72,27mkw-garaż,komórka",1 550 000 ,21 447 ,3 ,72.27  ,"ul. Konstruktorska, Służewiec, Mokotów, Warszawa, mazowieckie",Oferta prywatna
34,"Mieszkanie, 50 m², Warszawa",699 000 ,13 980 ,2 ,50  ,"Górce, Bemowo, Warszawa, mazowieckie",Oferta prywatna
35,"SKM Miedzeszyn, dom 37 m2, działka 140 m2",397 000 ,10 730 ,2 ,37  ,"ul. Lawinowa, Miedzeszyn, Wawer, Warszawa, mazowieckie",Oferta prywatna
36,"Astronomów 9, 2 pokoje, wysoki standard",670 000 ,17 403 ,2 ,38.5  ,"ul. Astronomów, Koło, Wola, Warszawa, mazowieckie",Oferta prywatna
37,"Komfortowe mieszkanie, 3 pokoje, 58m2, Bemowo",970 000 ,16 581 ,3 ,58.5  ,"ul. Dywizjonu 303 303, Górce, Bemowo, Warszawa, mazowieckie",Małgorzata KwiecieńBiuro nieruchomości
38,Kklimatyczne mieszkanie w kamienicy na Powiślu,1 785 000 ,21 000 ,4 ,85  ,"Powiśle, Śródmieście, Warszawa, mazowieckie",URBIS NieruchomościBiuro nieruchomości
39,2 pokoje z balkonem i garażem na Woli,995 000 ,20 798 ,2 ,47.84  ,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",Spektrum NieruchomościBiuro nieruchomości
40,Apartament w kamienicy!!! Warszawa centrum !!!,1 500 000 ,27 778 ,2 ,54  ,"ul. Sienna, Mirów, Wola, Warszawa, mazowieckie",RADOSŁAW KASPERSKI - CITY AND HOMEBiuro nieruchomości
41,"Ochota: Mieszkanie 2 Pokoje 37,4m2 - Twój Nowy Kąt",685 000 ,18 316 ,2 ,37.4  ,"ul. Stefana Bobrowskiego, Szczęśliwice, Ochota, Warszawa, mazowieckie",Oferta prywatna
42,4-pokojowe mieszkanie 85m2 + balkon,1 620 984 ,18 970 ,4 ,85.45  ,"ul. Sławińska, Czyste, Wola, Warszawa, mazowieckie",SkanskaInwestycja deweloperska
